equipe,nombre de joueurs,temps total (s),temps par joueur (s),temps de debut
32,1,21.605183362960815,21.605183362960815,2024-10-24 22:35:09
13,1,15.74763035774231,15.74763035774231,2024-10-24 22:49:50
